region n_total n_xloss propn
A1 2862 67 0.023410202655485674
A2 2896 67 0.0231353591160221
A4 1563 30 0.019193857965451054
NewY1 299 1 0.0033444816053511705
NewY2 96 2 0.020833333333333332
OldY1 209 3 0.014354066985645933
OldY2 275 7 0.025454545454545455
PAR1 757 20 0.026420079260237782
PAR2 1369 27 0.019722425127830533
